1,PANCHITO'S,103 MACDOUGAL STREET 10012,Mexican,10,5,12:00,23:00,1,,
2,THE PRINCETON CLUB,15 WEST 43 STREET 10036,American ,10,3,12:00,23:00,2,,
3,ARTURO'S,106 WEST HOUSTON STREET 10012,Italian,10,4,12:00,23:00,1,,
4,LE PERIGORD,405 EAST 52 STREET 10022,French,10,3,12:00,23:00,3,,
5,REYNOLD'S BAR,4241 BROADWAY 10033,American ,10,2,12:00,23:00,4,,
6,SPAIN RESTAURANT & BAR,113 WEST 13 STREET 10011,Spanish,10,3,12:00,23:00,5,,
7,DONUT PUB,203 WEST 14 STREET 10011,Donuts,10,3,12:00,23:00,5,,
8,MORAN'S CHELSEA,146 10 AVENUE 10011,Irish,10,3,12:00,23:00,6,,
9,V & T RESTAURANT,1024 AMSTERDAM AVENUE 10025,Italian,10,3,12:00,23:00,7,,
10,LA PARISIENNE DINER,910 SEVENTH AVENUE 10019,American ,10,5,12:00,23:00,2,,
11,JOE ALLEN RESTAURANT,326 WEST 46 STREET 10036,American ,10,3,12:00,23:00,8,,
12,IL VAGABONDO RESTAURANT,351 EAST 62 STREET 10065,Italian,10,4,12:00,23:00,9,,
13,BARBETTA RESTAURANT,321 WEST 46TH STREET 10036,Italian,10,4,12:00,23:00,8,,
14,PATSY'S ITALIAN RESTAURANT,236 WEST 56 STREET 10019,Italian,10,3,12:00,23:00,2,,
15,NEARY'S PUB,358 EAST 57 STREET 10022,American ,10,3,12:00,23:00,10,,
